name,address,latitude,longitude,CVRP
Løkkensvejens Kraftvarmeværk,"Løkkensvej 730, 9480 Løkken, Denmark",57.410064,9.812225,1004118408
Lønstrup Varmeforsyning,"Strandvejen 89, 2. sal, 9800 Hjørring, Denmark",57.472784,9.797076,1004046966
Lørslev Fjernvarme,"Vænget 31, 9800 Hjørring, Denmark",57.427803,10.087587,
Løsning Fjernvarme,"Fasanvej 2, 8723 Løsning, Denmark",55.804232,9.698341,1001811993
Lystrup Fjernvarme,"Hovmarken 2, 8520 Lystrup, Denmark",56.233931,10.240012,1001820693
Malling Varmeværk,"Dampmøllevej 1A, 8340 Malling, Denmark",56.039195,10.190868,1001745715
Mariager Fjernvarmeværk,"Klostermarken 5, 9550 Mariager, Denmark",56.635733,9.971694,
Maribo Varmeværk,"C. E. Christiansens Vej 40, 4930 Maribo, Denmark",54.779614,11.510476,1000187343
Marstal Fjernvarme,"Jagtvej 2, 5960 Marstal, Denmark",54.854594,10.514693,1001672864
Mejlby Fjernvarme,"Dyssevej 17, 8981 Spentrup, Denmark",56.517622,10.080639,1021057238
Mellerup Kraftvarmeværk,"Lodsvejen 29, 8930 Randers NØ, Denmark",56.518705,10.21169,
Middelfart Fjernvarme,"Skærgårdsvej 2, 5500 Middelfart, Denmark",55.498494,9.777639,1020897828
Midtfyns Energi,"Østre Ringvej 43, 5750 Ringe, Denmark",55.240134,10.484118,1022790915
Midtlangeland Fjernvarme,"Spodsbjergvej 147 D, 5900 Rudkøbing, Denmark",54.93554,10.736126,1001800657
Møldrup Fjernvarme,"Bøgevej 1, 9632 Møldrup, Denmark",56.615677,9.498815,
Mølholm Varmeværk,"Mølholm Landevej 14, 7100 Vejle, Denmark",55.690163,9.553467,1001852238
Mørke Fjernvarme,"Fabriksvej 20, 8544 Mørke, Denmark",56.338992,10.384768,
Mørkøv Varmeværk,"Holbækvej 236, 4440 Mørkøv, Denmark",55.650279,11.502598,1001557974
Morsø Forsyning,"Strandparken 19, 7900 Nykøbing M, Denmark",56.810014,8.865308,1019323567
Mosede Fjernvarmeværk,"Lundemosen 7, 2670 Greve, Denmark",55.579596,12.270508,1009984468
Mou Kraftvarme,"Ny Høstemarkvej 28 C, 9280 Storvorde",56.962604,10.218072,1000721948
Næstved Fjernvarme,"Maglemølle 62, 4700 Næstved, Denmark",55.221033,11.747411,1017450766
Nibe Varmeværk,"Hobrovej 46, 9240 Nibe, Denmark",56.976617,9.654545,1002279450
Nimtofte Og Omegns Fjernvarmeforsyning,"Frederikslundvej 1, 8550 Ryomgård, Denmark",56.390979,10.508577,1013275528
Nordby Fjernvarme,"Bavnebjerg 44, 6720 Fanø, Denmark",55.442686,8.392428,1001187876
Norfors,"Savsvinget 2, 2970 Hørsholm, Denmark",55.901089,12.492612,1008756097
Nørre Alslev Fjernvarmeværk,"Peter L. Jensensvej 4, 4840 Nørre Alslev, Denmark",54.8978,11.8841,1011034191
Nørre Nebel Fjernvarme,"Præstbølvej 9, 6830 Nørre-Nebel, Denmark",55.777908,8.311371,1000217829
Nørre Snede Varmeværk,"Horsensvej 19, 8766 Nørre-Snede, Denmark",55.963785,9.396752,
Nyborg Forsyning,"Gasværksvej 2, 5800 Nyborg, Denmark",55.311297,10.784,1003314105
Nykøbing Mors Fjernvarmeværk,"Kjærgaardsvej 20, 7900 Nykøbing M, Denmark",56.80178,8.863183,
Nysted Varmeværk,"Egevænget 1, 4880 Nysted, Denmark",54.671036,11.732493,1010517636
Odder Forsyningsselskab,"Skovdalsvej 8, 8300 Odder, Denmark",55.98709,10.149084,1003157078
Odsherred Forsyning,"Hovedgaden 39, 4571 Grevinge, Denmark",55.799866,11.547065,1014749477
Oksbøl Varmeværk,"Industrivej 10, 6840 Oksbøl, Denmark",55.622195,8.289493,1000445617
Ølgod Tekniske Værker,"Industrivej 9, 6870 Ølgod, Denmark",55.811388,8.624477,
Ollerup-Vester Skerninge-Ulbølle Fjernvarme,"Svendborgvej 85, 5762 Skerninge, Denmark",55.071871,10.488985,
Ørnhøj-Grønbjerg Kraftvarme,"Kjærsvej 13, 6973 Ørnhøj, Denmark",56.3440901,8.3421649,
Ørsted Fjernvarmeværk,"Rougsøvej 61G, 8950 Ørsted, Denmark",56.497736,10.33031,1001596824
Ørum Varmeværk,"Bøgevej 5-7, 8830 Tjele, Denmark",56.4828175,9.6273436,1000459320
Østbirk Varmeværk,"Industrivej 9, 8752 Østbirk, Denmark",55.967815,9.74289,1000946049
Øster Brønderslev Fjernvarmeselskab,"Ahornvej 26, 9700 Brønderslev, Denmark",57.247415,9.991144
Øster Hornum Varmeværk,"Tingager 11, 9530 Støvring, Denmark",56.931868,9.762721
Øster Hurup Kraftvarmeværk,"Snedkervej 6, 9560 Hadsund, Denmark",56.803528,10.266041
Øster Toreby Varmeværk,"Agrovej 3, 4800 Nykøbing F, Denmark",54.758,11.825915
Østerild Fjernvarme,"Hedevej 1, 7700 Thisted, Denmark",57.031058,8.856763
Østervraa Varmeværk,"Industrivej 3, 9750 Øster-Vrå, Denmark",57.3417,10.2401
Oue Kraftvarmeværk,"Mælkevejen 12, 9500 Hobro, Denmark",56.694893,9.979135,1001327150
Outrup Varmeværk,"Centrum 2, 6855 Outrup, Denmark",55.720531,8.344088,1000217945
Padborg Fjernvarme,"Haraldsdalsvej 11B, 6330 Padborg, Denmark",54.8266,9.3625,1001550440
Præstø Fjernvarme,"Værkstedsvej 3, 4720 Præstø, Denmark",55.114134,12.042337,1002247727
Ræhr Fjernvarme,"Molevej 13, 7730 Hanstholm, Denmark",57.114648,8.616342,1001082841
Ramsing-Lem-Lihme Kraftvarmeværk,"Hasselvej 8, 7860 Spøttrup, Denmark",56.591628,8.79162
Rask Mølle Varmeværk,"Vandværksvej 4, 8763 Rask Mølle, Denmark",55.873145,9.611987,1002992225
Refa Horbelev Fjernvarme,"Søndre Vej 1, 4871 Horbelev",54.818588,12.053318
Ribe Fjernvarme,"Mosevej 100, 6760 Ribe, Denmark",55.34218,8.79026,1002058838
Ringkøbing Fjernvarmeværk,"Isagervej 41, 6950 Ringkøbing",56.090141,8.277016,1003054009
Ringsted Forsyning,"Bragesvej 18, 4100 Ringsted, Denmark",55.429278,11.798537,1017780383
Rise Fjernvarme,"St. Rise Landevej 2, 5970 Ærøskøbing, Denmark",54.85253,10.408678,1007719341
Rødby Varmeværk,"Grønvej 7B, 4970 Rødby, Denmark",54.694546,11.397323,1001573462
Rødbyhavn Fjernvarme,"Jøncksvej 1, 4970 Rødby, Denmark",54.660757,11.360223,1001159796
Rødding Fjernvarme,"Vestermarksvej 2B, 6630 Rødding, Denmark",55.376499,9.058376,1002243368
Rødkærsbro Fjernvarmeværk,"Brandstrupvej 4A, 8840 Rødkærsbro, Denmark",56.352753,9.503951,1001454760
Rødovre Kommunale Fjernvarmeforsyning,"Tæbyvej 77, 2610 Rødovre, Denmark",55.685647,12.453278
Rønde Fjernvarme,"Skrejrupvej 9 C, 8410 Rønde, Denmark",56.307039,10.461949
Rønne Varme,"Sandemandsvej 1A, 3700 Rønne, Denmark",55.094886,14.729166,1016095709
Roslev Fjernvarmeselskab,"Møllebuen 1, 7870 Roslev, Denmark",56.708009,8.981319,1001806990
Rostrup Kraftvarmeværk,"Kildevej 4, 9510 Arden, Denmark",56.730582,9.930317,1001390845
Rundhøj Fjernvarme,"Holmevej 202, 8270 Højbjerg, Denmark",56.118092,10.176919,1001930294
Ry Varmeværk,"Bakkelyvej  3, 8680 Ry, Denmark",56.08341,9.78656,1029969465
Rye Kraftvarmeværk,"Hjarbækvej 7, 8680 Ry, Denmark",56.530125,9.32051,1003568649
Ryomgård Fjernvarme,"Frederikslundvej 1, 8550 Ryomgård, Denmark",56.390979,10.508577
Sæby Varmeværk,"Energivej 1, 9300 Sæby, Denmark",57.318891,10.500876,1002189756
Sakskøbing Fjernvarmeselskab,"Lillemark 25, 4990 Sakskøbing, Denmark",54.802911,11.632048,1002997847
Saltum Fjernvarmeværk,"Ths. Jensensvej 5, 9493 Saltum",57.273618,9.69952,1001529390
Sandved Tornemark Kraftvarmeværk,"Brandholtvej 6A, 4262 Sandved, Denmark",55.255489,11.522774
Sdr. Felding Varmeværk,"Bjergevej 33, 7280 Sønder-Felding, Denmark",55.931538,8.781223
Sdr. Herreds Kraftvarmeværker,"Næssundvej 327, 7960 Karby, Denmark",56.743378,8.602843
Sdr. Omme Varmeværk,"Nedergårdsvej 30, 7260 Sdr. Omme, Denmark",55.845851,8.886338,1001577420
