name,forsyid,CVRP,address,latitude,longitude
Svebølle-Viskinge Fjernvarmeselskab,15427078,1000921589,"Frederiksberg 1D, 4470 Svebølle, Denmark",55.65318,11.290961
Svendborg Fjernvarme,22113410,1003007911,"Bagergade 40A, 5700 Svendborg, Denmark",55.061775,10.606753
Sydfalster Varmeværk,17360698,1001272907,"Håndværkervænget 16, 4873 Væggerløse, Denmark",54.71772,11.926582
Sydlangeland Fjernvarme,17048244,1001211691,"Østerskovvej 2B, 5932 Humble, Denmark",54.796988,10.714755
Tarm Varmeværk,40893113,1001802909,"Skolegade 23, 6880 Tarm, Denmark",55.905235,8.524065
Tårnby Forsyning,32667740,1029482833,"Gemmas Alle 39, 2770 Kastrup, Denmark",55.627935,12.614395
Terndrup Fjernvarme,15608943,1000949978,"Industriparken 30, 9575 Terndrup, Denmark",56.80511,10.061693
Thisted Varmeforsyning,30992512,1003030685,"Ringvej 26, 7700 Thisted, Denmark",56.963491,8.703588
Thorsager Fjernvarmeværk,12575130,1000409687,"Nørregade 26, 8410 Rønde, Denmark",56.347366,10.46092
Thorshøj Kraftvarmeværk,19470695,1003830555,"Kobbervænget 4, 9750 Øster-Vrå, Denmark",57.3417,10.2401
Thorsminde Varmeværk,17168037,1001235842,"Havnevej 11, 6990 Ulfborg, Denmark",56.371194,8.128352
Thorsø Fjernvarmeværk,22883313,1001552789,"Thorsølundvej 6, 8881 Thorsø, Denmark",56.297849,9.792046
Thyborøn Fjernvarme,16888079,1001178258,"Ærøvej 83, 7680 Thyborøn Havn, Denmark",56.6990013,8.2145922
Tim Kraftvarmeværk,14528601,1000758600,"Høbrovej 9F, 6980 Tim, Denmark",56.193476,8.313888
Tistrup Varmeværk,10877814,1000146519,"Kastanievej 1, 6862 Tistrup, Denmark",55.717305,8.604234
Toftlund Fjernvarme,63690619,1002175112,"Østerdalen 3, 6520 Toftlund, Denmark",55.194115,9.071286
Tommerup Bys Fjernvarmeforsyning,18292610,1001473623,"Stadionvænget 6, 5690 Tommerup, Denmark",55.322957,10.20294
Tørring Kraftvarmeværk,28709714,1003023952,"Bygade 5A, 7160 Tørring, Denmark",55.858938,9.484923
Tranbjerg Varmeværk,33016719,1001698824,"Jegstrupvænget 630, 8310 Tranbjerg J, Denmark",56.090338,10.130029
Trefor Varme,17010131,1001203809,"Kokbjerg 30, 6000 Kolding, Denmark",55.535168,9.485974
Troldhede Kraftvarmeværk,38073117,1001762685,"Aakjærsvej 24B, 6920 Videbæk, Denmark",55.992674,8.742304
Trustrup-Lyngby Varmeværk,20095806,1004131281,"Tværvej 11, 8570 Trustrup, Denmark",56.352715,10.778948
Tversted Kraftvarmeværk,17590286,1001318826,"Løgtenvej 16, 9881 Bindslev, Denmark",57.581956,10.190193
Uldum Varmeværk,16500313,1001109525,"Industrisvinget 9, 7171 Uldum, Denmark",55.851921,9.588792
Ulfborg Fjernvarme,13231028,1000525111,"Sportsvej 2, 6990 Ulfborg, Denmark",56.280501,8.32227
Ulsted Varmeværk,34916810,1001726931,"Teglgårdsvej 10, 9370 Hals, Denmark",57.078482,10.250914
Vallensbæk Fjernvarme Nord,69330428,1001973692,"Horsbred 201, 2625 Vallensbæk",55.649775,12.357183
Vallensbæk Fjernvarme Syd,69330428,1003018651,"Delta Park 11, 2665 Vallensbæk Strand, Denmark",55.627079,12.386817
Vamdrup Fjernvarme,55946817,1002041931,"Nygade 6, 6580 Vamdrup",55.4274787,9.2800979
Vejby-Tisvilde Fjernvarme,19746933,1003962006,"Møngevej 9B, 3210 Vejby, Denmark",56.067987,12.148756
Vejle Fjernvarme,67932218,1002261339,"Langelinie 60, 7100 Vejle, Denmark",55.710266,9.542296
Vemb Varmeværk,27360912,1001612351,"Vestergade 17, 7570 Vemb, Denmark",56.34308,8.340738
Verdo Varme,25482026,1007760007,"Agerskellet 7, 8920 Randers NV, Denmark",56.490765,10.02027
Vestervig Fjernvarme,63195111,1002166333,"Vestergade 14, 7770 Vestervig, Denmark",56.763102,8.31771
Vestforsyning Varme,26704065,1010775961,"Nupark 51, 7500 Holstebro, Denmark",56.391895,8.611193
Viborg Varme,41897597,1026537661,"Håndværkervej 6, 8800 Viborg",56.462658,9.398628
Videbæk Energiforsyning,33258453,1016419539,"Godthåbsvej 3, 6920 Videbæk, Denmark",56.091913,8.631093
